time,x-axis,y-axis,z-axis
9.223062,0.5522,-0.0408,-0.5969
9.240319,1.0871,0.0309,-0.9461
9.257009,1.1181,0.2341,-0.8167
9.273917,0.6997,0.3479,-0.5118
9.29147,0.1094,0.14,-0.1139
9.308088,-0.3284,-0.0729,0.141
9.325435,-0.528,0.1803,0.2687
9.342186,-0.2991,0.4753,0.173
9.359316,0.1614,0.3923,0.1214
9.376357,0.3097,-0.1473,0.4107
9.394134,0.0577,-0.9314,0.8926
9.411032,-0.4472,-1.2654,1.2133
9.430352,-1.1405,-0.8532,1.7216
9.444451,-1.5766,-0.0321,2.3098
9.461386,-1.5903,0.7714,2.5565
9.478474,-1.0107,1.1188,2.1829
9.495932,-0.0586,0.7093,1.3722
9.512919,0.7388,-0.0662,0.2957
9.529622,1.1311,-0.677,-0.2948
9.547016,1.0983,-0.5671,-0.4048
9.563688,0.6759,0.1319,-0.0109
9.58084,0.1661,0.4738,0.4874
9.597979,-0.254,0.2377,0.828
9.617205,-0.5539,-0.2525,0.912
9.63206,-0.8117,-0.4721,0.7186
9.648866,-0.9383,-0.2495,0.7043
9.665962,-0.6764,0.1208,0.6348
9.682926,-0.202,0.2518,0.4174
9.699985,0.2246,0.1898,0.4475
9.716986,0.4674,0.0836,0.4824
9.734009,0.5284,-0.0036,0.5225
9.752263,0.4043,-0.062,0.5934
9.773241,0.2203,-0.0753,0.6036
9.789429,0.08,-0.0669,0.5884
9.803522,0.0357,-0.0083,0.4856
9.819186,0.0553,0.0768,0.4514
9.836158,0.0696,0.1695,0.4628
9.853405,0.0093,0.2661,0.4918
9.870634,-0.0562,0.3063,0.3977
9.887634,-0.1272,0.133,0.2362
9.904849,-0.2829,-0.0723,0.1136
9.922063,-0.6295,-0.0632,0.1089
9.938963,-0.9275,-0.048,0.2366
9.95566,-1.0309,-0.1748,0.2968
9.972763,-0.9558,-0.2393,0.1451
9.989418,-0.7534,-0.1789,-0.023
10.007688,-0.5059,-0.0568,-0.0759
10.024152,-0.2542,-0.0117,-0.1413
10.040555,-0.0917,-0.0182,-0.2091
10.057615,-0.058,-0.0001,-0.365
10.074828,-0.1551,-0.0502,-0.437
10.091686,-0.381,-0.1739,-0.4656
10.108839,-0.6291,-0.2184,-0.5345
10.125848,-0.814,-0.1362,-0.6382
10.142866,-0.8319,-0.1138,-0.8006
10.159822,-0.7871,-0.2158,-1.0761
10.177516,-0.79,-0.3402,-1.4535
10.193963,-0.8839,-0.3826,-1.8914
10.211295,-1.1272,-0.2759,-2.3766
10.228175,-1.4225,-0.0056,-2.7719
10.245728,-1.5199,-0.0263,-2.7726
10.262332,-1.443,-0.267,-2.5747
10.279898,-1.2392,-0.5129,-2.1636
10.296251,-0.8121,-0.7895,-1.524
10.31337,-0.0561,-1.146,-0.9268
10.330655,0.7546,-1.2858,-0.2951
10.34733,1.1141,-1.1661,0.8602
10.364534,0.7287,-0.8612,2.0157
10.381627,0.2631,-0.6267,2.1544
10.398275,-0.0101,-0.6403,1.6764
10.416602,-0.6521,-0.4436,1.3582
10.432316,-1.5064,0.0689,1.124
10.449435,-1.9178,0.4611,0.7736
10.466665,-1.7816,0.764,0.6549
10.483492,-1.2629,1.0257,0.688
10.5009,-0.5583,1.2835,0.6401
10.517751,0.0879,1.4643,0.4095
10.534925,0.4975,1.5164,0.2333
10.551806,0.691,1.3875,0.0583
10.569114,0.8676,1.0667,-0.0278
10.586317,0.9967,0.6564,-0.2138
10.603403,0.8111,0.455,-0.2614
